ID,Name
1,Dan Marino
2,Jeff Dellenbach
3,Mike Tomczak
4,Thurman Thomas
5,Wade Wilson
6,Andre Reed
7,Warren Moon
8,Randall Cunningham
9,Vinny Testaverde
10,Cris Carter
11,Morten Andersen
12,Jerry Rice
13,Steve Young
14,Eddie Murray
15,Chris Miller
16,Tim Brown
17,Quinn Early
18,Steve Beuerlein
19,Norm Johnson
20,Al Del Greco
21,Gary Anderson
22,Bubby Brister
23,Michael Irvin
24,Dwight Stone
25,Irving Fryar
26,Jeff Feagles
27,Jim Harbaugh
28,Kevin Greene
29,Chris Chandler
30,Mark Rypien
31,Cris Dishman
32,Clyde Simmons
33,Rich Gannon
34,Charles Haley
35,Doug Flutie
36,Steve Bono
37,Rod Woodson
38,Trey Junkin
39,Brian Kinchen
41,Brian Hansen
42,Tom Tupa
43,John Carney
45,Bruce Smith
46,Jessie Tuggle
47,Nate Newton
48,Chris Jacke
49,Deion Sanders
50,Tyrone Braxton
51,Jeff Jaeger
52,Pete Stoyanovich
53,Troy Aikman
54,Andre Rison
55,Eric Metcalf
56,Daryl Johnston
57,Wesley Walls
58,Steve Walsh
59,Rodney Peete
60,Howard Cross
61,James Hasty
64,Billy Joe Tolliver
65,Tim McDonald
66,Reuben Davis
67,Neil Smith
69,Jeff George
70,Eric Green
71,Leroy Hoard
72,Emmitt Smith
73,Anthony Johnson
74,Scott Mitchell
76,John Friesz
77,Terry Allen
80,Chris Warren
84,Jackie Harris
86,Chris Calloway
88,Tony Martin
90,Ricky Proehl
91,Shannon Sharpe
93,Steve Christie
94,Derek Loville
95,Terance Mathis
96,Rob Moore
97,Dan Stryzinski
98,Derrick Thomas
99,Darrell Green
100,Cornelius Bennett
101,Derrick Walker
102,Brian Mitchell
103,James Francis
104,Chris Doleman
105,Kurt Gouveia
106,Ray Crockett
107,Eric Allen
108,Eugene Robinson
109,Herman Moore
110,Alvin Harper
111,Mike Pritchard
112,Brett Favre
113,Eric Bieniemy
114,Ricky Watters
115,Jeff Graham
116,Kimble Anders
118,Chris Mohr
119,Sean Landeta
120,Ed McCaffrey
121,Larry Centers
123,Aaron Craver
124,Scott Zolak
125,Ben Coates
126,Gary Brown
127,Neil O'Donnell
128,Ernie Mills
129,Matt Stover
130,Jake Reed
131,Mark Royals
132,Lawrence Dawsey
133,Rick Tuten
134,Erik Kramer
135,Tommy Barnhardt
136,Brad Daluiso
